model,language,cc,size,un,seed,precision,recall,f1,n_pairs,n_unmatched
hiergat,de,80cc20rnd,large,100un,1,31.346351490236383,87.64367816091954,46.17713853141559,4447,16
hiergat,de,80cc20rnd,large,100un,2,33.22649572649573,89.36781609195403,48.442367601246104,4447,16
hiergat,de,80cc20rnd,medium,000un,0,48.837209302325576,79.82456140350878,60.599334073251946,4440,34
hiergat,de,80cc20rnd,medium,000un,1,49.43181818181818,76.31578947368422,60.0,4440,34
hiergat,de,80cc20rnd,medium,000un,2,45.13888888888889,76.0233918128655,56.644880174291934,4440,34
hiergat,de,80cc20rnd,medium,050un,0,42.96296296296296,80.33240997229917,55.98455598455598,4437,33
hiergat,de,80cc20rnd,medium,050un,1,43.30827067669173,79.77839335180056,56.14035087719298,4437,33
hiergat,de,80cc20rnd,medium,050un,2,38.90449438202247,76.73130193905817,51.630941286113696,4437,33
hiergat,de,80cc20rnd,medium,100un,0,35.16896120150187,80.74712643678161,48.99738448125545,4447,16
hiergat,de,80cc20rnd,medium,100un,1,34.447300771208226,77.01149425287356,47.60213143872114,4447,16
hiergat,de,80cc20rnd,medium,100un,2,32.96158612143743,76.4367816091954,46.06060606060606,4447,16
hiergat,de,80cc20rnd,small,000un,0,17.403314917127073,36.84210526315789,23.639774859287055,4440,34
hiergat,de,80cc20rnd,small,000un,1,21.089223638470454,53.216374269005854,30.20746887966805,4440,34
hiergat,de,80cc20rnd,small,000un,2,12.90983606557377,36.84210526315789,19.119878603945374,4440,34
hiergat,de,80cc20rnd,small,050un,0,19.306930693069308,43.21329639889196,26.689478186484173,4437,33
hiergat,de,80cc20rnd,small,050un,1,21.456692913385826,60.387811634349035,31.66303558460421,4437,33
hiergat,de,80cc20rnd,small,050un,2,14.841628959276019,45.42936288088642,22.373806275579806,4437,33
hiergat,de,80cc20rnd,small,100un,0,18.11320754716981,41.37931034482759,25.196850393700785,4447,16
hiergat,de,80cc20rnd,small,100un,1,22.1,63.50574712643679,32.789317507418396,4447,16
hiergat,de,80cc20rnd,small,100un,2,14.78102189781022,46.55172413793103,22.437673130193904,4447,16
hiergat,en,20cc80rnd,large,000un,0,80.56155507559394,91.64619164619164,85.74712643678161,4454,24
hiergat,en,20cc80rnd,large,000un,1,79.5031055900621,94.34889434889435,86.29213483146067,4454,24
hiergat,en,20cc80rnd,large,000un,2,80.63829787234043,93.12039312039312,86.43101482326112,4454,24
hiergat,en,20cc80rnd,large,050un,0,59.9290780141844,96.02272727272727,73.7991266375546,4429,26
hiergat,en,20cc80rnd,large,050un,1,54.77707006369427,97.72727272727273,70.20408163265306,4429,26
hiergat,en,20cc80rnd,large,050un,2,57.692307692307686,98.01136363636364,72.63157894736842,4429,26
hiergat,en,20cc80rnd,large,100un,0,46.870838881491345,97.77777777777777,63.366336633663366,4449,10
hiergat,en,20cc80rnd,large,100un,1,41.822429906542055,99.44444444444444,58.88157894736842,4449,10
hiergat,en,20cc80rnd,large,100un,2,46.40522875816993,98.61111111111111,63.11111111111111,4449,10
hiergat,en,20cc80rnd,medium,000un,0,72.0532319391635,93.12039312039312,81.2433011789925,4454,24
hiergat,en,20cc80rnd,medium,000un,1,69.55719557195572,92.62899262899262,79.45205479452055,4454,24
hiergat,en,20cc80rnd,medium,000un,2,69.7936210131332,91.4004914004914,79.14893617021276,4454,24
hiergat,en,20cc80rnd,medium,050un,0,52.26586102719033,98.29545454545455,68.24457593688363,4429,26
hiergat,en,20cc80rnd,medium,050un,1,51.4792899408284,98.86363636363636,67.70428015564202,4429,26
hiergat,en,20cc80rnd,medium,050un,2,51.3677811550152,96.02272727272727,66.93069306930694,4429,26
hiergat,en,20cc80rnd,medium,100un,0,41.02564102564102,97.77777777777777,57.799671592775034,4449,10
hiergat,en,20cc80rnd,medium,100un,1,39.955357142857146,99.44444444444444,57.00636942675159,4449,10
hiergat,en,20cc80rnd,medium,100un,2,42.05495818399044,97.77777777777777,58.813700918964074,4449,10
hiergat,en,20cc80rnd,small,000un,0,62.613430127041745,84.76658476658476,72.02505219206681,4454,24
hiergat,en,20cc80rnd,small,000un,1,63.345195729537366,87.46928746928747,73.47781217750257,4454,24
hiergat,en,20cc80rnd,small,000un,2,63.859649122807014,89.43488943488943,74.51381780962129,4454,24
hiergat,en,20cc80rnd,small,050un,0,50.0,90.9090909090909,64.51612903225806,4429,26
hiergat,en,20cc80rnd,small,050un,1,47.928994082840234,92.04545454545455,63.035019455252915,4429,26
hiergat,en,20cc80rnd,small,050un,2,53.62318840579711,94.60227272727273,68.448098663926,4429,26
hiergat,en,20cc80rnd,small,100un,0,41.854636591478695,92.77777777777779,57.68566493955095,4449,10
hiergat,en,20cc80rnd,small,100un,1,39.976553341148886,94.72222222222221,56.2242374278648,4449,10
hiergat,en,20cc80rnd,small,100un,2,42.51269035532995,93.05555555555556,58.36236933797909,4449,10
hiergat,en,50cc50rnd,large,000un,0,67.89366053169734,91.20879120879121,77.84290738569753,4427,43
hiergat,en,50cc50rnd,large,000un,1,66.40471512770138,92.85714285714286,77.43413516609394,4427,43
hiergat,en,50cc50rnd,large,000un,2,67.26546906187625,92.58241758241759,77.91907514450868,4427,43
hiergat,en,50cc50rnd,large,050un,0,54.66893039049236,93.0635838150289,68.87700534759358,4418,48
hiergat,en,50cc50rnd,large,050un,1,51.98098256735341,94.79768786127167,67.14431934493346,4418,48
hiergat,en,50cc50rnd,large,050un,2,51.42405063291139,93.9306358381503,66.46216768916156,4418,48
hiergat,en,50cc50rnd,large,100un,0,45.34731323722149,93.76693766937669,61.130742049469966,4458,21
